epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1650.35,1.31071,1.69913,0.68627,0.88598,0.79582,0.4046,0.48232,0.28807,0.74273,0.38754,0.46853,0.24358,1.42941,2.3994,0.78787,0.94452,0.000968543,0.000968543,0.000968543
79,1670.56,1.27145,1.67227,0.6752,0.88825,0.79582,0.4046,0.48232,0.28807,0.74273,0.38754,0.46853,0.24358,1.42941,2.3994,0.78787,0.94452,0.000947837,0.000947837,0.000947837
80,1691.65,1.34394,1.80181,0.68857,0.87833,0.79582,0.4046,0.48232,0.28807,0.74273,0.38754,0.46853,0.24358,1.42941,2.3994,0.78787,0.94452,0.000927159,0.000927159,0.000927159
81,1713.82,1.28606,1.71019,0.67032,0.88226,0.79582,0.4046,0.48232,0.28807,0.74273,0.38754,0.46853,0.24358,1.42941,2.3994,0.78787,0.94452,0.000906517,0.000906517,0.000906517
82,1734.76,1.22299,1.58603,0.66673,0.89511,0.76351,0.41349,0.47766,0.28256,0.75712,0.41003,0.4878,0.2516,1.41608,2.43191,0.78393,0.93846,0.00088592,0.00088592,0.00088592
83,1775.61,1.37725,1.82093,0.71129,0.8642,0.76351,0.41349,0.47766,0.28256,0.75712,0.41003,0.4878,0.2516,1.41608,2.43191,0.78393,0.93846,0.000865378,0.000865378,0.000865378
84,1834.55,1.11417,1.49413,0.637,0.88405,0.76351,0.41349,0.47766,0.28256,0.75712,0.41003,0.4878,0.2516,1.41608,2.43191,0.78393,0.93846,0.000844899,0.000844899,0.000844899
85,1893.71,1.14677,1.59461,0.62772,0.86876,0.76351,0.41349,0.47766,0.28256,0.75712,0.41003,0.4878,0.2516,1.41608,2.43191,0.78393,0.93846,0.000824492,0.000824492,0.000824492
86,1954.57,1.10543,1.38488,0.59187,0.8528,0.77284,0.42042,0.48854,0.29543,0.83729,0.37716,0.48536,0.23146,1.37101,2.42407,0.76505,0.93058,0.000804167,0.000804167,0.000804167
87,2014.49,1.13472,1.465,0.61094,0.87819,0.77284,0.42042,0.48854,0.29543,0.83729,0.37716,0.48536,0.23146,1.37101,2.42407,0.76505,0.93058,0.000783933,0.000783933,0.000783933
88,2073.92,1.24026,1.65468,0.64115,0.86238,0.77284,0.42042,0.48854,0.29543,0.83729,0.37716,0.48536,0.23146,1.37101,2.42407,0.76505,0.93058,0.000763797,0.000763797,0.000763797
89,2138.12,1.32825,1.82789,0.67374,0.88504,0.77284,0.42042,0.48854,0.29543,0.83729,0.37716,0.48536,0.23146,1.37101,2.42407,0.76505,0.93058,0.000743769,0.000743769,0.000743769
90,2199.33,1.22969,1.60353,0.63936,0.88358,0.76059,0.42323,0.50007,0.30257,0.71264,0.41618,0.48827,0.22248,1.35143,2.43491,0.75456,0.925,0.000723859,0.000723859,0.000723859
91,2263.88,1.28267,1.82064,0.67205,0.87336,0.76059,0.42323,0.50007,0.30257,0.71264,0.41618,0.48827,0.22248,1.35143,2.43491,0.75456,0.925,0.000704073,0.000704073,0.000704073
92,2325.47,1.22946,1.58761,0.64534,0.87213,0.76059,0.42323,0.50007,0.30257,0.71264,0.41618,0.48827,0.22248,1.35143,2.43491,0.75456,0.925,0.000684422,0.000684422,0.000684422
93,2391.74,1.28085,1.77699,0.65275,0.8567,0.76059,0.42323,0.50007,0.30257,0.71264,0.41618,0.48827,0.22248,1.35143,2.43491,0.75456,0.925,0.000664914,0.000664914,0.000664914
94,2452.87,1.14181,1.57638,0.61871,0.84877,0.8278,0.40484,0.49928,0.30339,0.7951,0.38938,0.49309,0.23408,1.34861,2.49785,0.76551,0.92298,0.000645557,0.000645557,0.000645557
95,2510.37,1.16774,1.57609,0.63236,0.86363,0.8278,0.40484,0.49928,0.30339,0.7951,0.38938,0.49309,0.23408,1.34861,2.49785,0.76551,0.92298,0.00062636,0.00062636,0.00062636
96,2572.37,1.25064,1.76364,0.64744,0.86106,0.8278,0.40484,0.49928,0.30339,0.7951,0.38938,0.49309,0.23408,1.34861,2.49785,0.76551,0.92298,0.000607331,0.000607331,0.000607331
97,2632.78,1.25482,1.79803,0.65975,0.88126,0.8278,0.40484,0.49928,0.30339,0.7951,0.38938,0.49309,0.23408,1.34861,2.49785,0.76551,0.92298,0.000588479,0.000588479,0.000588479
98,2666.41,1.2712,1.78355,0.66487,0.86818,0.80815,0.39965,0.49878,0.29376,0.81767,0.38235,0.49297,0.25061,1.37503,2.52583,0.79108,0.9261,0.000569811,0.000569811,0.000569811
99,2689.93,1.14874,1.56099,0.60635,0.8495,0.80815,0.39965,0.49878,0.29376,0.81767,0.38235,0.49297,0.25061,1.37503,2.52583,0.79108,0.9261,0.000551337,0.000551337,0.000551337
